실거래가,감정가,낙찰가,감정가_log,건물면적_log,실거래가_log,최저가율,낙찰가율,실거래가율,저평가율,낙찰률,유찰횟수_adj,월실거래건수,실거래상대지수_local,실거래상대지수_global,건물나이,층_high,층_low,층_mid,면적_대형,면적_소형,면적_중형,면적_초대형,구클_0,구클_1,구클_2,구클_3,구클_4
300000,332000,363210,12.71289326,4.451202823,12.61154109,100,109.4006024,90.36144578,-21.07,109.4006024,1,155,66.3,54.4,4,0,0,1,1,0,0,0,0,1,0,0,0
310000,340000,520822,12.73670384,4.677304784,12.6443308,100,153.1829412,91.17647059,-68.00709677,153.1829412,0,155,66.3,54.4,43,0,1,0,1,0,0,0,0,1,0,0,0
95000,101000,105600.099,11.5228857,4.45190245,11.4616427,100,104.5545535,94.05940594,-11.15799895,104.5545535,0,407,173.6,142.9,20,0,0,1,1,0,0,0,0,0,0,1,0
78000,80800,85777.7,11.29974462,4.441120674,11.26447693,100,106.1605198,96.53465347,-9.971410256,106.1605198,0,279,150.6,97.9,39,0,1,0,0,0,1,0,0,0,0,1,0
85000,87600,76130,11.38054769,4.64053733,11.3504183,80,86.90639269,97.03196347,10.43529412,86.90639269,1,279,150.6,97.9,15,0,0,1,1,0,0,0,0,0,0,1,0
43000,55000,37120,10.91510665,3.746676553,10.66897865,64,67.49090909,78.18181818,13.6744186,67.49090909,2,120,187.7,42.1,7,0,0,1,0,1,0,0,0,0,0,0,1
12000,13200,6758.4,9.488047863,2.871868286,9.392745259,51.2,51.2,90.90909091,43.68,51.2,3,43,129.6,15.1,13,0,1,0,0,1,0,0,1,0,0,0,0
95000,94500,86000.0705,11.4563657,4.751449971,11.4616427,80,91.00536561,100.5291005,9.47361,91.00536561,1,460,197.6,161.5,22,1,0,0,1,0,0,0,0,0,0,1,0
64500,67500,61199.9,11.11989769,4.453882072,11.07443601,80,90.66651852,95.55555556,5.116434109,90.66651852,1,460,197.6,161.5,22,0,0,1,1,0,0,0,0,0,0,1,0
56000,58500,47873,10.97679913,4.452950973,10.93312483,80,81.83418803,95.72649573,14.5125,81.83418803,1,171,146.6,60,35,0,1,0,1,0,0,0,1,0,0,0,0
84500,90300,83999.9999,11.41090381,4.452950973,11.34451865,80,93.0232557,93.57696567,0.591716095,93.0232557,1,477,166.3,167.4,26,0,1,0,1,0,0,0,0,0,0,1,0
63000,63000,53650,11.05090588,4.235844124,11.05090588,80,85.15873016,100,14.84126984,85.15873016,1,162,143.4,56.9,29,0,0,1,0,0,1,0,1,0,0,0,0
64500,67500,62100,11.11989769,4.453882072,11.07443601,80,92,95.55555556,3.720930233,92,1,460,197.6,161.5,22,0,0,1,1,0,0,0,0,0,0,1,0
120000,131000,125010,11.78296024,4.450502706,11.69525536,80,95.42748092,91.60305344,-4.175,95.42748092,1,446,227,156.6,20,0,0,1,1,0,0,0,0,1,0,0,0
169700,173000,197011.1392,12.06105265,4.10346947,12.04179334,100,113.8792712,98.09248555,-16.09377678,113.8792712,0,85,109.6,29.8,28,0,0,1,0,0,1,0,0,0,1,0,0
95000,94300,78499.99,11.45424707,4.969674401,11.4616427,80,83.24495228,100.7423118,17.36843158,83.24495228,1,308,178.6,108.1,28,1,0,0,0,0,0,1,0,0,0,1,0
152000,170200,159830,12.04473537,4.811615088,11.93164238,80,93.90716804,89.306698,-5.151315789,93.90716804,1,414,202,145.3,11,0,0,1,1,0,0,0,0,0,0,1,0
66304,74000,57899.9,11.21183389,4.44076713,11.10202059,64,78.24310811,89.6,12.67510256,78.24310811,2,404,202.4,141.8,19,0,1,0,0,0,1,0,0,0,0,1,0
13500,14600,9350,9.588845299,3.012097628,9.510519036,64,64.04109589,92.46575342,30.74074074,64.04109589,2,279,150.6,97.9,14,1,0,0,0,1,0,0,0,0,0,1,0
153000,79000,63200,11.27721579,4.866071843,11.93819974,80,80,193.6708861,58.69281046,80,1,471,205.7,165.3,10,1,0,0,1,0,0,0,0,0,0,1,0
17000,20600,17850,9.933094897,3.747148362,9.741027445,80,86.65048544,82.52427184,-5,86.65048544,1,471,205.7,165.3,23,0,0,1,0,1,0,0,0,0,0,1,0
27000,28400,24000,10.25417963,3.418709807,10.20362918,80,84.50704225,95.07042254,11.11111111,84.50704225,1,414,202,145.3,6,0,0,1,0,1,0,0,0,0,0,1,0
97800,78700,72581,11.27341114,4.897541248,11.49069008,80,92.2249047,124.2693774,25.78629857,92.2249047,1,460,197.6,161.5,27,0,1,0,1,0,0,0,0,0,0,1,0
28500,32800,14750,10.39821428,3.792112709,10.25769445,40.96006098,44.9695122,86.8902439,48.24561404,44.9695122,4,171,146.6,60,39,0,0,1,0,1,0,0,1,0,0,0,0
60000,53000,47188,10.87806606,4.453183829,11.00211651,64,89.03396226,113.2075472,21.35333333,89.03396226,2,477,166.3,167.4,26,0,1,0,1,0,0,0,0,0,0,1,0
153000,160200,175020.2,11.98418456,4.453533011,11.93819974,100,109.2510612,95.50561798,-14.39228758,109.2510612,0,247,81.2,86.7,12,0,0,1,1,0,0,0,0,1,0,0,0
64700,67900,57520,11.12580604,4.110217911,11.07753194,80,84.71281296,95.28718704,11.09737249,84.71281296,1,659,220.5,231.3,21,0,1,0,0,0,1,0,0,1,0,0,0
57500,54300,59200,10.90229792,4.237867539,10.95955762,100,109.0239411,105.893186,-2.956521739,109.0239411,0,659,220.5,231.3,21,0,1,0,0,0,1,0,0,1,0,0,0
67000,76600,56300,11.24636541,4.107754249,11.11246282,51.2,73.49869452,87.46736292,15.97014925,73.49869452,3,234,219.9,82.1,7,0,1,0,0,0,1,0,0,0,1,0,0
155000,151000,67300,11.92504174,4.106767082,11.95118685,40.96,44.56953642,102.6490066,56.58064516,44.56953642,4,155,66.3,54.4,5,0,0,1,0,0,1,0,0,1,0,0,0
114000,119000,135432.1012,11.68688718,4.452177502,11.6439625,80,113.8084884,95.79831933,-18.80008877,113.8084884,1,404,202.4,141.8,9,1,0,0,1,0,0,0,0,0,0,1,0
71500,74000,65199,11.21183389,4.45225208,11.17746671,80,88.10675676,96.62162162,8.812587413,88.10675676,1,265,214.3,93,29,0,0,1,1,0,0,0,1,0,0,0,0
50700,53800,45214.042,10.89304733,4.451785879,10.83370091,80,84.04097026,94.23791822,10.82042998,84.04097026,1,65,118.4,22.8,23,0,1,0,1,0,0,0,1,0,0,0,0
27500,27600,20484.8,10.22560728,4.059925635,10.22197765,64,74.22028986,99.63768116,25.50981818,74.22028986,2,308,154.5,108.1,26,0,0,1,0,1,0,0,0,0,0,1,0
315032,288000,295000.01,12.57071923,4.947269418,12.66043267,100,102.430559,109.3861111,6.35871594,102.430559,0,308,154.5,108.1,38,0,1,0,0,0,0,1,0,0,0,1,0
36000,39200,38177,10.57645754,3.703275334,10.49130199,80,97.39030612,91.83673469,-6.047222222,97.39030612,1,471,205.7,165.3,31,0,1,0,0,1,0,0,0,0,0,1,0
117000,103000,86881,11.54249398,4.905052532,11.66993776,80,84.35048544,113.592233,25.74273504,84.35048544,1,171,146.6,60,24,1,0,0,1,0,0,0,1,0,0,0,0
29500,33400,28000,10.41634112,4.100989105,10.29217944,80,83.83233533,88.32335329,5.084745763,83.83233533,1,162,143.4,56.9,36,0,1,0,0,0,1,0,1,0,0,0,0
64000,49000,49005,10.79959599,4.45423101,11.06665399,100,100.0102041,130.6122449,23.4296875,100.0102041,0,171,146.6,60,27,0,1,0,1,0,0,0,1,0,0,0,0
